"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 04:30:39 UTC 2023","Wed Jul 05 04:30:42 UTC 2023","3498","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Jul 05 04:13:31 UTC 2023","Wed Jul 05 04:13:40 UTC 2023","9667","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Jul 05 04:13:10 UTC 2023","Wed Jul 05 04:13:30 UTC 2023","20748","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Jul 05 04:18:58 UTC 2023","Wed Jul 05 04:18:59 UTC 2023","713","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Jul 05 04:39:13 UTC 2023","Wed Jul 05 04:39:13 UTC 2023","214","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Jul 05 04:39:21 UTC 2023","Wed Jul 05 04:39:25 UTC 2023","3501","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Jul 05 04:13:02 UTC 2023","Wed Jul 05 04:13:07 UTC 2023","4942","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Jul 05 04:28:34 UTC 2023","Wed Jul 05 04:28:37 UTC 2023","3481","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jul 05 04:31:52 UTC 2023","Wed Jul 05 04:31:52 UTC 2023","465","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Jul 05 04:18:03 UTC 2023","Wed Jul 05 04:18:05 UTC 2023","1128","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Jul 05 04:13:20 UTC 2023","Wed Jul 05 04:13:24 UTC 2023","3327","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Jul 05 04:13:17 UTC 2023","Wed Jul 05 04:13:20 UTC 2023","3613","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Jul 05 04:31:36 UTC 2023","Wed Jul 05 04:31:47 UTC 2023","11634","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Jul 05 04:21:57 UTC 2023","Wed Jul 05 04:22:01 UTC 2023","3978","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Jul 05 04:14:00 UTC 2023","Wed Jul 05 04:14:07 UTC 2023","7082","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Jul 05 04:30:23 UTC 2023","Wed Jul 05 04:30:24 UTC 2023","1945","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Jul 05 04:21:28 UTC 2023","Wed Jul 05 04:21:53 UTC 2023","25147","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Jul 05 04:38:50 UTC 2023","Wed Jul 05 04:39:07 UTC 2023","17411","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Jul 05 04:25:32 UTC 2023","Wed Jul 05 04:26:01 UTC 2023","28963","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
